"species_name","region","kept_natur","thrown_natur","kept_native","thrown_native"
"Cirsium arvense","Australian","85","3","2010","604"
"Cirsium arvense","Nearctic","232","0","2614","0"
"Cirsium arvense","Sino-Japanese","7","0","2602","12"
"Cirsium palustre","Australian","18","18","2489","1110"
"Cirsium palustre","Nearctic","10","0","3599","0"
"Cirsium vulgare","Nearctic","564","9","3246","0"
"Cirsium vulgare","Australian","919","41","2872","374"
"Cirsium vulgare","Afrotropical","90","0","2817","429"
"Cirsium vulgare","Sino-Japanese","11","0","3222","24"
"Cirsium vulgare","Neotropical","56","2","3245","1"
"Clematis orientalis","Nearctic","16","0","71","0"
"Clematis terniflora","Nearctic","77","0","223","9"
"Coleonema pulchrum","Australian","8","0","11","0"
"Collomia grandiflora","Palearctic_West","116","0","333","3"
"Collomia grandiflora","Australian","5","0","269","67"
"Collomia linearis","Palearctic_West","23","0","466","0"
"Colocasia esculenta","Oriental","15","0","123","1"
"Colocasia esculenta","Panamanian","31","0","119","5"
"Colocasia esculenta","Nearctic","43","0","114","10"
"Colocasia esculenta","Palearctic_West","18","0","35","89"
"Colocasia esculenta","Neotropical","26","1","123","1"
"Colocasia esculenta","Oceanian","11","0","48","76"
"Commelina diffusa","Nearctic","173","0","739","83"
"Commelina diffusa","Panamanian","57","0","790","32"
"Commelina diffusa","Oceanian","16","0","472","350"
"Conium maculatum","Australian","226","0","2239","121"
"Conium maculatum","Nearctic","444","0","2360","0"
"Conium maculatum","Neotropical","50","0","2355","5"
"Conium maculatum","Panamanian","11","0","1374","986"
"Conringia orientalis","Palearctic_West","473","0","288","0"
"Conringia orientalis","Nearctic","165","0","288","0"
"Conringia orientalis","Australian","14","0","284","4"
"Convolvulus arvensis","Australian","208","0","3103","256"
"Convolvulus arvensis","Nearctic","855","0","3359","0"
"Convolvulus arvensis","Sino-Japanese","8","0","3336","23"
"Convolvulus arvensis","Afrotropical","29","0","3087","272"
"Conyza canadensis","Neotropical","39","0","1067","7"
"Conyza canadensis","Australian","128","0","874","200"
"Conyza canadensis","Palearctic_West","2398","0","993","81"
"Conyza canadensis","Panamanian","15","0","734","340"
"Conyza canadensis","Afrotropical","56","0","957","117"
"Conyza canadensis","Palearctic_East","7","0","852","222"
"Conyza canadensis","Sino-Japanese","112","0","1038","36"
